unique_id,ds,AutoNBEATS
hotel_0,2023-07-01,0.91747606
hotel_0,2023-07-02,0.6496427
hotel_0,2023-07-03,0.60665286
hotel_0,2023-07-04,0.7357302
hotel_0,2023-07-05,0.74140054
hotel_0,2023-07-06,0.7337948
hotel_0,2023-07-07,0.8462992
hotel_0,2023-07-08,0.94786656
hotel_0,2023-07-09,0.63317525
hotel_0,2023-07-10,0.62088037
hotel_0,2023-07-11,0.7181026
hotel_0,2023-07-12,0.7409408
hotel_0,2023-07-13,0.75894266
hotel_0,2023-07-14,0.84132385
hotel_0,2023-07-15,0.93156576
hotel_0,2023-07-16,0.6587738
hotel_0,2023-07-17,0.61580217
hotel_0,2023-07-18,0.7544703
hotel_0,2023-07-19,0.76019347
hotel_0,2023-07-20,0.73907
hotel_0,2023-07-21,0.8361682
hotel_0,2023-07-22,0.92151725
hotel_0,2023-07-23,0.67024714
hotel_0,2023-07-24,0.60975593
hotel_0,2023-07-25,0.73646027
hotel_0,2023-07-26,0.78034955
hotel_0,2023-07-27,0.77837723
hotel_0,2023-07-28,0.85458994
hotel_105,2023-07-01,1.0063157
hotel_105,2023-07-02,0.9864691
hotel_105,2023-07-03,1.0091505
hotel_105,2023-07-04,1.0458527
hotel_105,2023-07-05,1.0251062
hotel_105,2023-07-06,0.9911659
hotel_105,2023-07-07,1.0013955
hotel_105,2023-07-08,1.0079598
hotel_105,2023-07-09,0.9854934
hotel_105,2023-07-10,0.9977393
hotel_105,2023-07-11,1.031876
hotel_105,2023-07-12,1.0209285
hotel_105,2023-07-13,0.97274977
hotel_105,2023-07-14,0.9962849
hotel_105,2023-07-15,1.0033231
hotel_105,2023-07-16,0.9856445
hotel_105,2023-07-17,1.0018401
hotel_105,2023-07-18,1.0390363
hotel_105,2023-07-19,1.0162454
hotel_105,2023-07-20,0.9830593
hotel_105,2023-07-21,0.9989915
hotel_105,2023-07-22,0.99336725
hotel_105,2023-07-23,0.97227997
hotel_105,2023-07-24,0.9979974
hotel_105,2023-07-25,1.0448704
hotel_105,2023-07-26,1.0032681
hotel_105,2023-07-27,0.9783031
hotel_105,2023-07-28,0.9994856
hotel_112,2023-07-01,0.92757785
hotel_112,2023-07-02,0.9203455
hotel_112,2023-07-03,0.91834766
hotel_112,2023-07-04,0.94185984
hotel_112,2023-07-05,0.9568687
hotel_112,2023-07-06,0.94695073
hotel_112,2023-07-07,0.92696404
hotel_112,2023-07-08,0.92349577
hotel_112,2023-07-09,0.920453
hotel_112,2023-07-10,0.9028757
